City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
450,Cao Bang,VN,22.6667,106.25,54.63,99,100,0.85,overcast clouds
451,Topolobampo,MX,25.6,-109.05,73.31,35,0,9.22,clear sky
452,Port Blair,IN,11.6667,92.75,77.04,88,40,1.14,mist
453,Lisakovsk,KZ,52.5369,62.4936,12.96,89,100,5.26,overcast clouds
454,Prince Rupert,CA,54.3161,-130.3201,48.29,71,40,23.02,scattered clouds
455,Berlevag,NO,70.8578,29.0864,21.2,79,20,24.16,few clouds
456,Boyolangu,ID,-8.1181,111.8935,75.13,94,100,4.85,overcast clouds
457,Morondava,MG,-20.2833,44.2833,80.56,84,100,21.36,moderate rain
458,Prince George,CA,53.9166,-122.753,44.04,52,0,21.85,clear sky
459,Grindavik,IS,63.8424,-22.4338,28.87,69,100,11.5,overcast clouds
460,Yerofey Pavlovich,RU,53.9667,121.9667,-2.22,86,100,1.88,overcast clouds
461,Lianzhou,CN,24.7811,112.3825,51.93,99,100,1.16,moderate rain
462,Xining,CN,36.6167,101.7667,8.6,92,86,1.66,overcast clouds
463,Kyotera,UG,-0.6156,31.5175,65.37,80,51,3.6,broken clouds
464,Makat,KZ,47.6469,53.3463,23.61,93,83,8.63,broken clouds
465,Katobu,ID,-4.9408,122.5276,75.11,93,45,5.17,scattered clouds
466,Turan,VN,16.0678,108.2208,69.78,94,75,1.14,broken clouds
467,Verkh-Usugli,RU,52.7,115.1667,-10.52,99,36,3.0,scattered clouds
468,Chumikan,RU,54.7183,135.315,-11.49,89,60,11.48,broken clouds
469,Damghan,IR,36.1683,54.348,34.54,60,57,2.3,broken clouds
470,Sorong,ID,-0.8833,131.25,79.79,82,100,11.92,overcast clouds
471,Beitbridge,ZW,-22.2167,30.0,74.61,58,4,18.03,clear sky
472,Koregaon,IN,18.65,74.0833,65.86,52,49,6.64,scattered clouds
473,Avera,US,33.194,-82.5271,49.75,49,100,7.14,overcast clouds
474,Haukipudas,FI,65.1765,25.3523,30.25,94,100,13.47,overcast clouds
475,Dunedin,NZ,-45.8742,170.5036,54.14,70,33,2.08,scattered clouds
476,Doka,SD,13.5167,35.7667,71.62,24,3,10.16,clear sky
477,Totness,SR,5.8833,-56.3167,79.63,80,94,10.83,overcast clouds
478,Menongue,AO,-14.6585,17.691,59.43,87,100,3.8,overcast clouds
479,Itatiba,BR,-23.0058,-46.8389,79.32,91,100,3.22,overcast clouds
480,Tecoanapa,MX,16.5167,-98.75,85.39,53,39,11.86,scattered clouds
481,Qandala,SO,11.472,49.8728,74.64,58,96,4.36,overcast clouds
482,Parksville,CA,49.3163,-124.3195,47.71,93,99,1.99,overcast clouds
483,Khovu-Aksy,RU,51.1333,93.6,-13.67,80,10,6.46,clear sky
484,Cordoba,AR,-31.4135,-64.1811,79.41,38,20,8.05,few clouds
485,Lagoa,PT,39.05,-27.9833,60.08,85,48,14.32,scattered clouds
486,Awjilah,LY,29.1081,21.2869,59.47,30,24,5.06,few clouds
487,Karpogory,RU,64.0019,44.4451,12.29,95,93,7.27,overcast clouds
488,Krasnokholm,RU,51.5979,54.1567,14.58,96,100,5.08,light snow
489,Dingle,PH,10.9995,122.6711,72.93,90,80,8.14,broken clouds
490,Banda Aceh,ID,5.5577,95.3222,76.39,89,100,7.2,overcast clouds
491,Biltine,TD,14.5333,20.9167,67.14,12,89,15.01,overcast clouds
492,Arroyo,ES,41.6096,-4.7969,40.6,72,0,5.75,clear sky
493,Kurumkan,RU,54.3,110.3,-3.89,95,56,4.18,broken clouds
494,Khasan,RU,42.4308,130.6434,17.62,53,2,12.48,clear sky
495,Nyimba,ZM,-14.5566,30.8149,66.36,96,98,1.9,overcast clouds
496,Mahibadhoo,MV,3.7833,72.9667,81.39,64,14,9.57,few clouds
497,Basoko,CD,1.2391,23.616,75.4,42,86,2.77,overcast clouds
498,Seoul,KR,37.5683,126.9778,17.04,79,0,2.3,clear sky
499,Aldan,RU,58.6031,125.3894,-15.54,92,53,4.41,broken clouds
500,Belaya Gora,RU,68.5333,146.4167,-43.47,100,63,2.21,broken clouds
501,Road Town,VG,18.4167,-64.6167,73.44,94,75,12.66,broken clouds
502,Awbari,LY,26.5921,12.7805,57.79,21,73,7.85,broken clouds
503,Pampa,US,35.5362,-100.9599,48.74,46,0,23.02,clear sky
504,Zvecka,RS,44.6389,20.1647,46.63,86,69,6.55,broken clouds
505,Bac Lieu,VN,9.285,105.7244,78.46,73,99,15.82,overcast clouds
506,Voloshka,RU,61.3314,40.0858,9.48,95,98,6.64,overcast clouds
507,Gorizia,IT,45.9167,13.5,48.42,95,100,2.3,mist
508,Marshfield,US,44.6689,-90.1718,27.84,80,100,12.66,mist
509,Oksfjord,NO,70.2396,22.3479,27.52,85,70,10.92,broken clouds
510,Urucara,BR,-2.5364,-57.76,77.88,94,100,1.39,heavy intensity rain
511,Morgaushi,RU,55.9643,46.7743,8.76,99,95,3.71,overcast clouds
512,Vilhena,BR,-12.7406,-60.1458,75.42,83,40,11.5,scattered clouds
513,Kenai,US,60.5544,-151.2583,23.14,90,0,3.44,clear sky
514,Alice Springs,AU,-23.7,133.8833,58.55,94,0,0.0,clear sky
515,Molteno,ZA,-31.3968,26.3625,66.7,52,98,11.18,overcast clouds
516,Nyurba,RU,63.2842,118.3319,-3.73,98,100,5.93,light snow
517,Kalengwa,ZM,-13.4659,25.0027,62.85,98,99,2.26,light rain
518,Grafton,US,42.207,-71.6856,28.96,57,0,1.01,clear sky
519,Olinda,BR,-8.0089,-34.8553,82.13,69,40,6.91,scattered clouds
520,Aklavik,CA,68.2191,-135.0107,-19.48,93,100,18.75,overcast clouds
521,Erzin,TR,36.9559,36.2,45.32,82,2,3.47,clear sky
522,Manat,PH,7.5327,126.0173,75.81,93,84,3.47,broken clouds
523,Samarai,PG,-10.6167,150.6667,81.73,76,100,9.24,overcast clouds
524,Adre,TD,13.4667,22.2,64.49,12,1,15.84,clear sky
525,Lyuban,BY,52.7985,28.0048,33.12,97,100,15.86,overcast clouds
526,Pryazha,RU,61.6926,33.6216,20.43,92,100,10.83,overcast clouds
527,Atar,MR,20.5169,-13.0499,75.09,9,0,6.82,clear sky
528,Hirara,JP,24.8,125.2833,64.99,64,66,15.43,broken clouds
529,Kuusamo,FI,65.9667,29.1833,21.24,86,100,12.66,overcast clouds
