City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
646,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
651,Chicama,PE,75.74,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
652,Serang,ID,77.92,light rain,-6.1149,106.1502,Horison Ultima Ratu
655,Unguia,CO,86.02,few clouds,8.0434,-77.0945,Residencias El Golfo
657,Iguape,BR,78.48,moderate rain,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
659,Fare,PF,81.37,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
661,Imbituba,BR,78.69,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
674,Tevaitoa,PF,81.41,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
676,Sao Felix Do Xingu,BR,79.27,heavy intensity rain,-6.6447,-51.995,Rio Xingu Camping
677,Roebourne,AU,83.07,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
678,Humberto De Campos,BR,77.83,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
681,Balabac,PH,80.4,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
682,Voi,KE,75.74,overcast clouds,-3.3945,38.563,Voi Wildlife Lodge
683,Formosa,AR,85.98,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
686,Mocajuba,BR,78.13,heavy intensity rain,-2.5842,-49.5072,Hotel Saylon Mocajuba
687,Piacabucu,BR,80.74,clear sky,-10.4056,-36.4344,Piaçabuçu News
688,Fomboni,KM,83.35,broken clouds,-12.28,43.7425,Auberge les abou
694,Inirida,CO,83.52,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
